#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
FK1      1.471198  -.38875E-01  -.36901E-02  .000004   .000007   .505
FK3      1.465014  -.39261E-01  -.33436E-02  .000004   .000006   .505
FK5      1.487994  -.38556E-01  -.44290E-02  .000005   .000010   .490
FK51     1.486979  -.31926E-01   .18194E-02  .000005   .000014   .400
FK52     1.486484  -.32911E-01   .15370E-02  .000006   .000015   .400
FK54     1.437351  -.26753E-01  -.22200E-02  .000003   .000008   .400
PK1      1.504329  -.41887E-01  -.42218E-02  .000005   .000009   .495
PK2      1.518790  -.44266E-01  -.36043E-02  .000004   .000006   .640
PK3      1.526010  -.45145E-01  -.35301E-02  .000004   .000006   .640
PK50     1.521083  -.41516E-01  -.38248E-02  .000004   .000006   .640
PK51     1.529052  -.38005E-01  -.11653E-02  .000008   .000021   .400
PSK2     1.569385  -.50031E-01  -.29459E-02  .000004   .000008   .400
PSK3     1.552954  -.48312E-01  -.29585E-02  .000004   .000007   .400
PSK50    1.558131  -.45989E-01  -.29606E-02  .000004   .000009   .400
PSK52    1.603769  -.51089E-01  -.21857E-02  .000007   .000017   .400
PSK53    1.620848  -.54024E-01  -.11192E-02  .000009   .000024   .400
BK1      1.510673  -.44595E-01  -.24933E-02  .000004   .000008   .400
BK3      1.498869  -.42620E-01  -.43814E-02  .000005   .000010   .495
BK6      1.531750  -.47399E-01  -.23435E-02  .000004   .000009   .400
BK7      1.517385  -.44736E-01  -.32737E-02  .000004   .000006   .640
UBK7     1.517385  -.44657E-01  -.32511E-02  .000004   .000006   .640
BK8      1.520745  -.45353E-01  -.30058E-02  .000004   .000006   .640
BK10     1.498363  -.41386E-01  -.43619E-02  .000005   .000010   .495
BALK1    1.527057  -.48527E-01  -.55659E-03  .000007   .000019   .400
BALKN3   1.519112  -.47654E-01  -.10567E-02  .000005   .000014   .400
K3       1.518866  -.48601E-01  -.27367E-03  .000007   .000019   .400
K4       1.519606  -.50014E-01  -.87388E-04  .000005   .000015   .400
K5       1.523126  -.48603E-01   .51732E-03  .000006   .000018   .400
K7       1.511734  -.46850E-01   .10421E-02  .000005   .000014   .400
K10      1.502014  -.49146E-01   .59641E-03  .000005   .000012   .400
K11      1.500720  -.45114E-01   .13796E-02  .000004   .000007   .400
K50      1.523201  -.48094E-01   .13039E-02  .000005   .000015   .400
UK50     1.523199  -.47942E-01   .14241E-02  .000005   .000012   .400
K51      1.505795  -.47055E-01   .19302E-02  .000004   .000006   .510
ZK1      1.533815  -.50846E-01   .93678E-04  .000007   .000020   .400
ZK5      1.534448  -.53260E-01   .17842E-02  .000011   .000029   .400
ZKN7     1.509073  -.46135E-01   .28023E-02  .000004   .000006   .510
BAK1     1.573219  -.54951E-01   .73080E-03  .000011   .000029   .400
BAK2     1.540615  -.50025E-01   .48440E-03  .000008   .000021   .400
BAK4     1.569563  -.55980E-01   .12009E-02  .000009   .000025   .400
BAK5     1.557397  -.52474E-01   .60790E-04  .000009   .000024   .400
BAK6     1.575176  -.56261E-01   .12602E-02  .000009   .000024   .400
BAK50    1.568446  -.54167E-01   .61838E-03  .000007   .000020   .400
SK1      1.611029  -.59425E-01   .11338E-02  .000012   .000032   .400
SK2      1.608157  -.59206E-01   .10459E-02  .000012   .000031   .400
SK3      1.609558  -.57147E-01  -.36092E-03  .000009   .000024   .400
SK4      1.613477  -.57797E-01  -.18846E-03  .000009   .000025   .400
SK5      1.589828  -.53293E-01   .20681E-02  .000005   .000015   .400
SK6      1.614537  -.60082E-01   .12725E-02  .000013   .000034   .400
SK7      1.608030  -.56513E-01   .70747E-03  .000008   .000023   .400
SK8      1.611961  -.60331E-01   .15222E-02  .000013   .000034   .400
SK9      1.614854  -.61419E-01   .21966E-02  .000012   .000033   .400
SK10     1.623593  -.60458E-01   .92315E-03  .000011   .000030   .400
SK11     1.564512  -.51347E-01  -.14156E-02  .000007   .000018   .400
SK12     1.583842  -.54263E-01  -.64832E-03  .000008   .000023   .400
SK13     1.592544  -.56101E-01   .22876E-03  .000010   .000028   .400
SK14     1.603832  -.55115E-01   .15170E-02  .000006   .000018   .400
SK15     1.623767  -.59330E-01   .39821E-04  .000009   .000026   .400
SK16     1.621157  -.56964E-01   .16415E-02  .000006   .000018   .400
SKN18    1.639374  -.63613E-01   .17595E-02  .000010   .000027   .400
SK19     1.614195  -.59075E-01   .75367E-03  .000011   .000029   .400
SK20     1.560294  -.50643E-01   .16275E-02  .000006   .000017   .400
SK51     1.621646  -.56913E-01   .64482E-04  .000010   .000026   .400
SK52     1.639373  -.63551E-01   .66661E-03  .000010   .000028   .400
KF1      1.541174  -.58252E-01   .48432E-02  .000009   .000024   .400
KF3      1.515220  -.51934E-01   .16171E-02  .000008   .000021   .400
KF6      1.518136  -.54676E-01   .32096E-02  .000007   .000019   .400
KF9      1.524146  -.56040E-01   .38714E-02  .000007   .000020   .400
KF50     1.531630  -.57241E-01   .39921E-02  .000009   .000025   .400
BALF3    1.572132  -.59480E-01   .36697E-02  .000013   .000035   .400
BALF4    1.580348  -.59505E-01   .29782E-02  .000012   .000031   .400
BALF5    1.548128  -.56270E-01   .32670E-02  .000010   .000028   .400
BALF6    1.589843  -.61244E-01   .36201E-02  .000012   .000032   .400
BALF8    1.554389  -.59555E-01   .50505E-02  .000011   .000030   .400
BALF50   1.589758  -.63148E-01   .47336E-02  .000012   .000032   .400
BALF51   1.574727  -.60703E-01   .42462E-02  .000011   .000030   .400
SSK1     1.618028  -.63137E-01   .30332E-02  .000012   .000033   .400
SSK2     1.623147  -.64536E-01   .37295E-02  .000013   .000034   .400
SSK3     1.615703  -.66155E-01   .55202E-02  .000015   .000038   .400
SSK4     1.618460  -.61819E-01   .20500E-02  .000012   .000033   .400
SSKN5    1.659373  -.71231E-01   .60741E-02  .000014   .000036   .400
SSKN8    1.618614  -.68297E-01   .68995E-02  .000011   .000029   .400
SSK50    1.618802  -.64715E-01   .42812E-02  .000013   .000035   .400
SSK51    1.604421  -.62050E-01   .33812E-02  .000012   .000031   .400
